"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"884";"now that the prep trial drug has been procured , we ' re well on the way to protecting over 10,000 people at risk of hiv .'";"now that the result of the emergence of mrs liberation has been obtained , we are on the way to protect more than 10 000 people who are at risk of hiv infection .";"19.471700"
"885";"but we have less trash on our beaches than elsewhere in europe .";"however , our coasts are less rubbish than in europe .";"13.832284"
"886";"what can you do to feel better in the morning after today and tomorrow ’ s weekend festival or other party and get over a hangover as painlessly as possible ?";"what can you do to ensure that , after today and after the end of tomorrow ' s colonial position - or else - is it better to feel and to become painfully discriminated against in the face of the roots ?";"14.186256"
"887";"one anonymous resident said : ' they moved there on monday night after being moved on from bentley heath where they were throwing rocks at passers by .";"one of the succccidents of the deportations were moving there on monday evening after their expulsion from ben bentt , a good strike in which they came from the rubbles .";"5.875582"
"888";""" i politely commented that i was disappointed in his lack of response to hate crimes and other recent news items , "" she wrote in the comment section of the post ' s news story .";"ind/ dem group . - ( pt ) madam president , i politely argued that i am disappointed because he has not reacted to hate crimes or to other recent news reports by mr liberg ' s comment in the country .";"8.556599"
"889";"if it smells wrong , stay away .";"when it comes to the two gypsies , let us not be warned .";"3.737438"
"890";"it ’ s a feel - good moment for me , too – i ’ m getting pretty good at predicting the endings of american dramas !";"i too can well feel - the beginning of the american drama would be quite well predicted .";"3.563458"
"891";"the 110 - million - year - old creature , part of the nodosaur family , first hit headlines in may and is now on view at the royal tyrrell museum of palaeontology .";"this trend towards the family of the 110 million ages has first reached the news in may and is now the result of the emergence of the compartmentation of the compartmentation of the drew .";"14.397786"
"892";"šadeiko is also riding high on happy events in the lives of people close to her .";"modemocracy has also offered šcinema a despot .";"2.132082"
"893";"anatoli yevseyev is continuing the tradition of the famous seto goldminers along the river mana .";"adult ana anatotic anatoine will continue the famous blasphemy of gold mine , who is born in the maana river .";"4.968018"
